date       time    	Air_Temp	Barometric_Press	Dew_Point	Relative_Humidity	Wind_Dir	Wind_Gust	Wind_Speed
2012_01_01 06:17:25	32.8	30.6	26.8	78.2	146.8	16	11.8
2012_01_01 06:23:51	32.7	30.6	26.4	77.4	217	17	13.8
2012_01_01 06:30:09	32.9	30.6	26.8	77.8	5.8	17	14.4
2012_01_01 06:36:28	32.9	30.6	26.9	78.4	147	17	14
2012_01_01 06:42:44	32.7	30.6	26.6	78	78.6	17	13.8
2012_01_01 06:48:59	32.4	30.6	26	76.8	211.2	17	10.4
2012_01_01 06:55:16	32.4	30.6	26	77	347.8	17	10.4
2012_01_01 07:01:31	32.7	30.6	26.8	78.6	215.4	17	12.2
2012_01_01 07:07:47	32.6	30.6	26.3	77.2	146	15	12
2012_01_01 07:14:03	32.4	30.6	25.9	76.6	76.6	15	12.2
2012_01_01 07:20:18	32.4	30.6	26.2	77.4	10.4	15	10.4
2012_01_01 07:26:34	32.4	30.6	25.8	76.4	83	15	9.6
2012_01_01 07:32:49	32.5	30.6	26.2	77.2	80.4	15	8.4
2012_01_01 07:39:06	32.6	30.6	26.3	77.2	145	13	8.6
2012_01_01 07:45:22	32.7	30.6	26.4	77.2	279.8	13	8.6
2012_01_01 07:51:37	32.8	30.6	26.3	76.4	350.8	15	10.4
2012_01_01 07:57:53	32.9	30.6	26.7	77.8	148	15	11.8
2012_01_01 08:04:09	32.8	30.6	26.5	77.4	148.6	15	13.2
2012_01_01 08:10:25	32.7	30.6	26.3	76.8	217.8	15	11.4
2012_01_01 08:16:41	32.7	30.6	26.2	76.6	148.8	15	12.2
2012_01_01 08:22:56	32.6	30.6	26.1	76.6	216.8	15	10.8
2012_01_01 08:29:12	32.6	30.6	26.1	76.8	76.8	15	10.6
2012_01_01 08:35:28	32.6	30.6	26.1	76.6	218.2	13	10.4
2012_01_01 08:41:43	32.6	30.7	26.3	77.2	286	13	10.2
2012_01_01 08:47:59	32.9	30.6	26.5	77	146.8	18	13.2
2012_01_01 08:54:16	32.9	30.7	26.7	77.6	215.2	18	14.6
2012_01_01 09:00:31	32.8	30.7	26.1	76.2	219	18	12.2
2012_01_01 09:06:47	33	30.7	26.4	76.4	286.2	19	13.6
2012_01_01 09:14:03	33.1	30.7	26.5	76.6	149	19	14.2
2012_01_01 09:20:19	33.1	30.7	26.9	77.6	8.6	19	14.8
2012_01_01 09:26:35	33	30.7	26.2	75.6	218.6	19	13.2
2012_01_01 09:32:51	32.9	30.7	25.9	75.2	148.6	19	13
2012_01_01 09:39:08	32.8	30.7	26	75.6	359	15	11.8
2012_01_01 09:45:29	33	30.7	26.2	75.8	212.8	15	10.2
2012_01_01 09:51:45	33.2	30.7	26.2	75.4	353.2	15	9
2012_01_01 09:58:01	33.2	30.7	26.3	75.6	286	15	8.6
2012_01_01 10:04:19	33.4	30.7	26.7	76	356	20	14.6
2012_01_01 10:10:35	33.4	30.7	26.5	75.6	350.8	20	12.2
2012_01_01 10:16:51	33.2	30.7	26.5	76	287.8	20	11.4
2012_01_01 10:23:07	33.3	30.7	25.8	73.8	147.6	20	11.4
2012_01_01 10:29:23	33.3	30.7	25.9	74	284	20	10.8
2012_01_01 10:35:39	33.3	30.7	25.7	73.4	143.4	12	8.8
2012_01_01 10:41:54	33.5	30.7	26.2	74.4	81.4	13	10
2012_01_01 10:48:11	33.5	30.7	26.2	74.2	358	14	10.8
2012_01_01 10:54:27	33.5	30.7	26.2	74.2	284.2	14	11.4
2012_01_01 11:00:42	33.5	30.7	26.3	74.6	284.8	14	11.6
2012_01_01 11:06:58	33.6	30.7	26.4	74.8	289.8	15	11.8
2012_01_01 11:13:14	33.7	30.7	26.3	74	283.4	15	10.6
2012_01_01 11:19:30	33.6	30.7	26.5	75	148	16	11.4
2012_01_01 11:25:46	33.6	30.7	26.2	74	354.4	16	11.8
2012_01_01 11:32:02	33.7	30.7	26.6	75	355.2	16	12.2
2012_01_01 11:38:18	33.7	30.7	26.3	74	345	16	10.2
2012_01_01 11:44:34	33.9	30.7	26.5	74	284	16	12
2012_01_01 11:50:50	33.8	30.7	26.3	73.8	283.2	16	10.4
2012_01_01 11:58:05	33.9	30.7	26.2	73	147.8	17	11.6
2012_01_01 12:04:22	34	30.7	26.3	73	214.6	17	12
2012_01_01 12:10:38	34	30.7	26.2	72.8	354.6	14	11.2
2012_01_01 12:16:54	34	30.6	26.4	73.2	285.4	14	10
2012_01_01 12:23:10	34.3	30.6	26.8	73.6	281.4	14	10.4
2012_01_01 12:29:26	34.3	30.6	26.4	72.4	348.2	14	10.4
2012_01_01 12:35:42	34.4	30.7	26.3	72	354.2	13	10.8
2012_01_01 12:41:57	34.4	30.7	26.1	71.4	282.8	13	9.6
2012_01_01 12:48:14	34.6	30.7	26.4	71.6	351.8	13	9.4
2012_01_01 12:54:29	34.6	30.7	26	70.6	287	13	9.2
2012_01_01 13:00:45	34.6	30.6	26.5	72.2	218.2	13	7.8
2012_01_01 13:07:01	34.7	30.6	26.9	73	75	10	7.6
2012_01_01 13:13:17	34.8	30.6	26.7	72	286.6	11	8.2
2012_01_01 13:19:33	34.9	30.6	26.5	70.8	282.6	12	7.4
2012_01_01 13:25:49	35.1	30.6	26.5	70.6	338.4	12	7.6
2012_01_01 13:32:04	35.2	30.6	26.3	69.8	278	12	7.6
2012_01_01 13:38:29	35.2	30.6	26.5	70.2	277.2	12	8.4
2012_01_01 13:44:49	35.2	30.6	27	71.8	219.8	12	10.4
2012_01_01 13:51:05	35.3	30.6	27	71.4	286	12	10.2
2012_01_01 13:57:21	35.6	30.6	27.6	72.4	216.8	12	9.4
2012_01_01 14:03:37	35.7	30.6	27.4	71.2	278.6	13	9.8
2012_01_01 14:09:53	35.9	30.6	27.4	71	217.8	14	11
2012_01_01 14:16:09	35.8	30.6	26.8	69.4	217	14	10.6
2012_01_01 14:22:25	35.8	30.6	26.6	68.8	351	14	8
2012_01_01 14:28:42	35.8	30.6	26.4	68.2	351.2	14	9.2
2012_01_01 14:34:57	36	30.6	27.3	70.2	285	14	9.2
2012_01_01 14:41:14	36.1	30.6	26.5	67.8	217.2	13	10
2012_01_01 14:47:33	36.1	30.6	26.4	67.6	75.8	13	9.8
2012_01_01 14:53:49	36.1	30.6	27.3	70	145	13	11
2012_01_01 15:00:05	36.1	30.6	26.8	68.8	278.4	13	7.8
2012_01_01 15:06:24	36.1	30.6	27	69.2	282.8	12	9.8
2012_01_01 15:12:39	36.3	30.6	26.9	68.4	268.4	12	8.4
2012_01_01 15:18:55	36.3	30.6	27.1	68.8	346.6	12	9.2
2012_01_01 15:25:11	36.4	30.6	27.1	68.6	343.6	13	10.4
2012_01_01 15:31:27	36.5	30.6	27	68	349	13	10.8
2012_01_01 15:37:43	36.4	30.6	26.9	68	356	16	12
2012_01_01 15:43:58	36.5	30.6	27.2	68.6	354.8	16	11.6
2012_01_01 15:50:15	36.5	30.6	27.5	69.6	146.6	16	10
2012_01_01 15:56:30	36.5	30.6	27.2	68.6	283	16	10.8
2012_01_01 16:02:46	36.5	30.6	27.2	68.6	215.8	16	10.4
2012_01_01 16:10:03	36.5	30.6	27.2	68.6	83.2	14	11.8
2012_01_01 16:16:19	36.5	30.6	27.6	69.8	147.8	14	11.4
2012_01_01 16:22:35	36.5	30.6	27.9	70.8	221.2	14	9.6
2012_01_01 16:28:51	36.4	30.6	27.4	69.6	9.6	14	8.4
2012_01_01 16:35:09	36.3	30.6	27.7	70.6	216.2	15	10.4
2012_01_01 16:41:25	36.3	30.6	27.6	70.2	81	15	11.8
2012_01_01 16:47:41	36.2	30.6	27.1	69.4	17	15	9.2
2012_01_01 16:53:57	36.1	30.6	27.4	70.4	81.4	15	9.6
2012_01_01 17:00:13	35.9	30.6	27.2	70.4	13.2	15	7.8
2012_01_01 17:11:51	35.9	30.6	27.3	70.6	216	10	7.6
2012_01_01 17:19:15	36	30.6	27.9	72	81.8	15	10.6
2012_01_01 17:28:08	35.7	30.6	27.4	71.6	83.4	15	8.2
2012_01_01 17:34:42	35.6	30.6	27.4	71.8	77.2	15	8.8
2012_01_01 17:41:23	35.5	30.6	27.8	73.2	23.6	13	9.8
2012_01_01 17:47:48	35.7	30.6	27.6	72.2	10.6	16	12
2012_01_01 17:54:07	36.1	30.6	27.9	72	7.8	17	14
2012_01_01 18:00:24	36.1	30.6	27.9	71.6	146.8	17	15.2
2012_01_01 18:06:40	36.2	30.6	27.9	71.6	283	20	16
2012_01_01 18:12:56	36.1	30.6	27.8	71.4	289.6	20	13.2
2012_01_01 18:19:12	36.2	30.6	27.9	71.6	287	20	15.2
2012_01_01 18:25:28	36.2	30.6	27.9	71.6	353.6	20	13.4
2012_01_01 18:31:45	36.2	30.6	27.6	70.8	213	20	13.8
2012_01_01 18:38:01	36.1	30.6	27.9	71.8	147	17	13.4
2012_01_01 18:44:17	35.9	30.6	27.6	71.6	9.6	17	11.4
2012_01_01 18:50:33	35.9	30.6	28.1	73	89	17	9.6
2012_01_01 18:56:50	36	30.6	27.8	71.8	150	17	11.6
2012_01_01 19:04:06	35.9	30.6	28.1	72.8	149.2	17	11.8
2012_01_01 19:10:23	36	30.6	28.1	72.6	285	16	12.2
2012_01_01 19:16:39	36.2	30.6	28.2	72.4	138.2	17	12.4
2012_01_01 19:22:56	36.1	30.6	28.4	73.2	80	17	12
2012_01_01 19:29:12	35.9	30.6	27.9	72.4	10.6	17	11.6
2012_01_01 19:35:29	35.9	30.6	27.9	72.2	28.4	14	10.2
2012_01_01 19:41:46	35.8	30.6	28	73	16.2	14	9.6
2012_01_01 19:49:02	35.7	30.6	27.8	72.6	213.6	18	10.6
2012_01_01 19:55:19	35.9	30.6	27.8	72.2	213.6	18	12.6
2012_01_01 20:01:35	35.8	30.6	27.7	72.2	284	18	10.6
2012_01_01 20:07:52	35.7	30.6	27.8	72.8	149.8	13	10.4
2012_01_01 20:14:09	35.7	30.6	27.5	71.8	217.8	16	12.6
2012_01_01 20:20:26	35.7	30.6	27.8	72.6	10.8	16	11.2
2012_01_01 20:26:42	35.8	30.6	27.7	72.2	83.4	19	11.6
2012_01_01 20:32:59	35.9	30.6	28.1	73.2	8.4	19	12.8
2012_01_01 20:39:16	35.8	30.6	27.8	72.4	146	18	12.6
2012_01_01 20:45:32	35.8	30.6	27.8	72.6	79.6	18	9
2012_01_01 20:51:49	35.7	30.6	27.8	72.6	285.8	18	11.2
2012_01_01 20:58:06	35.9	30.6	27.7	72	144.4	18	9.6
2012_01_01 21:04:22	35.6	30.6	27.4	71.8	287	18	10
2012_01_01 21:10:39	35.4	30.6	27.4	72.4	283.2	14	9.2
2012_01_01 21:16:55	35.4	30.5	27.7	73.2	151.8	14	10.6
2012_01_01 21:23:12	35.3	30.5	27.4	72.6	19.2	14	9.8
2012_01_01 21:29:28	35.2	30.5	27.4	73	6.6	14	8.6
2012_01_01 21:35:54	35.3	30.5	27.8	73.8	12.8	11	8.4
2012_01_01 21:42:16	35.2	30.5	27.6	73.4	80	12	8.8
2012_01_01 21:48:33	35.2	30.5	27.4	72.8	287	12	7.4
2012_01_01 21:54:49	35.3	30.5	27.6	73.2	217	12	8.2
2012_01_01 22:02:06	35.4	30.5	27.9	74	145.8	12	10.2
2012_01_01 22:08:23	35.4	30.5	27.8	73.4	145	12	8
2012_01_01 22:14:39	35.4	30.5	28	74	81	14	8
2012_01_01 22:20:55	35.5	30.5	28	74	215.2	14	9.4
2012_01_01 22:27:12	35.6	30.5	28.2	74	147.6	15	10.4
2012_01_01 22:33:29	35.5	30.5	27.6	72.6	215	15	10.4
2012_01_01 22:39:45	35.5	30.5	28.2	74.4	280.4	12	8.8
2012_01_01 22:46:01	35.5	30.5	27.9	73.8	350.8	12	8
2012_01_01 22:52:19	35.4	30.5	27.8	73.6	342.6	12	8.6
2012_01_01 22:58:35	35.4	30.5	27.9	74	348	13	9.8
2012_01_01 23:04:51	35.4	30.5	28	74	328.2	13	10.8
2012_01_01 23:11:09	35.1	30.5	27.4	73	344.6	15	9.8
2012_01_01 23:17:24	35	30.5	27.7	74.4	282	15	10.8
2012_01_01 23:23:41	34.9	30.5	27.9	75.2	350.4	15	10.4
2012_01_01 23:29:57	34.9	30.5	27.9	75.2	287.8	15	8.2
2012_01_01 23:36:15	34.9	30.5	27.9	75.2	149.4	10	7.4
2012_01_01 23:42:31	34.9	30.5	27.6	74.2	215	11	9
2012_01_01 23:48:47	34.9	30.5	27.7	74.6	215	12	9
2012_01_01 23:55:03	34.9	30.5	27.9	75.2	286.2	13	7.4
2012_01_02 00:01:21	34.9	30.5	27.8	75.2	356	13	7.8
2012_01_02 00:07:36	34.8	30.5	27.3	74	215.8	10	8
2012_01_02 00:13:52	34.7	30.5	27.8	75.6	353.8	10	6.4
2012_01_02 00:20:08	34.8	30.5	27.4	74	332.8	11	8
2012_01_02 00:26:24	34.8	30.5	27.5	74.4	282	13	7.8
2012_01_02 00:32:40	34.7	30.5	27.2	73.8	349.2	13	9
2012_01_02 00:38:56	34.9	30.5	27.8	75.2	327.8	13	9.4
2012_01_02 00:45:12	34.8	30.5	27.8	75.2	338.6	14	10.6
2012_01_02 00:51:28	34.7	30.5	28.5	78	208	15	12.2
2012_01_02 00:57:44	34.5	30.5	28.3	77.8	147	15	7.8
2012_01_02 01:04:11	34.5	30.5	27.7	76	351.4	15	9.8
2012_01_02 01:10:28	34.6	30.5	27.5	75	336	13	8
2012_01_02 01:16:43	34.6	30.5	27.7	75.6	339.8	13	8
2012_01_02 01:22:59	34.5	30.5	27.1	74.2	342	13	7.4
2012_01_02 01:29:15	34.5	30.5	27.4	75	327.4	13	8.4
2012_01_02 01:35:31	34.5	30.5	27.5	75.6	338.8	14	11.2
2012_01_02 01:41:47	34.4	30.5	27.5	75.6	350.6	14	9.2
2012_01_02 01:48:02	34.3	30.5	27.4	75.6	78	14	6.6
2012_01_02 01:54:18	34.4	30.5	27.2	74.8	219.8	14	5.2
2012_01_02 02:00:34	34.4	30.5	27.2	74.6	275.4	14	5.6
2012_01_02 02:06:50	34.3	30.5	26.9	74	9.2	8	5.6
2012_01_02 02:13:06	34.3	30.5	27.1	74.8	9	8	4.8
2012_01_02 02:19:22	34.4	30.5	27.4	75.4	268.8	11	8
2012_01_02 02:25:37	34.3	30.5	27.2	74.8	336	11	8.2
2012_01_02 02:31:53	34.4	30.5	27.7	76.4	325.4	12	9
2012_01_02 02:38:08	34.3	30.5	27.9	77.2	347.6	11	8.2
2012_01_02 02:44:24	34	30.5	28	78.4	329.4	11	7.2
2012_01_02 02:50:39	34	30.4	28.2	79.2	351	11	8.4
2012_01_02 02:56:54	33.7	30.4	28.1	79.8	350.8	11	6.4
2012_01_02 03:03:10	33.7	30.4	27.6	78.2	353.6	11	6
2012_01_02 03:09:26	33.9	30.4	27.5	77	340.2	10	7.6
2012_01_02 03:15:41	34.1	30.4	27.7	77.2	341	11	8.4
2012_01_02 03:21:56	34	30.4	27.3	76.2	348.8	11	9.2
2012_01_02 03:28:12	33.9	30.4	27.6	77.4	354.2	11	6.6
2012_01_02 03:34:27	33.9	30.4	27.2	76.4	360	11	6.4
2012_01_02 03:40:43	33.9	30.4	27.4	76.8	353.8	9	5
2012_01_02 03:46:58	33.9	30.4	27.3	76.4	330.4	9	5.8
2012_01_02 03:53:14	33.8	30.4	27.2	76.4	341	9	6.2
2012_01_02 03:59:29	33.8	30.4	27.2	76.6	337.8	9	6.2
2012_01_02 04:10:48	33.8	30.4	28	79	342.2	9	6.2
2012_01_02 04:17:19	33.7	30.4	27.7	78.2	342.2	9	6.6
2012_01_02 04:25:19	33.6	30.4	27.6	78.4	356	9	5.4
2012_01_02 04:31:37	33.5	30.4	27.4	77.8	355	9	6
2012_01_02 04:37:51	33.5	30.4	27.5	78.4	355	8	5.4
2012_01_02 04:44:05	33.5	30.4	27.5	78.6	335.6	9	7
2012_01_02 04:50:35	33.4	30.4	27.4	78.4	344.6	10	7.8
2012_01_02 04:57:50	33.3	30.4	27.3	78.4	337.6	10	7.8
2012_01_02 05:04:08	33.3	30.4	27.1	77.6	339.6	11	7.4
2012_01_02 05:10:24	33.3	30.4	27.1	77.6	334.8	11	8.4
2012_01_02 05:16:38	33.2	30.4	27.1	78	321.6	11	7.6
2012_01_02 05:22:54	33.3	30.4	27.5	79	320.6	11	8
2012_01_02 05:29:09	33.3	30.4	27.4	78.8	338.2	11	8.6
2012_01_02 05:35:24	33.2	30.4	27.2	78.6	327.4	11	8.6
2012_01_02 05:41:40	33.1	30.4	27.6	80	345.8	11	7.4
2012_01_02 05:47:55	33.1	30.4	27.6	80.2	339.8	11	6.8
2012_01_02 05:54:11	33.1	30.4	27.7	80.4	349.8	11	7.2
2012_01_02 06:00:27	33.1	30.4	27.7	80.2	6.6	11	8
2012_01_02 06:06:43	33.2	30.4	27.7	80	142.8	10	7.8
2012_01_02 06:12:58	33.2	30.4	27.7	80	349	11	9.6
2012_01_02 06:19:14	33.1	30.4	27.7	80.2	352.4	13	9.8
2012_01_02 06:25:29	32.9	30.4	27.5	80.2	145	13	9.2
2012_01_02 06:31:44	32.8	30.4	27.3	80	8.6	13	7.8
2012_01_02 06:38:00	32.9	30.4	27.4	80	12	10	7.8
2012_01_02 06:44:16	32.8	30.4	27.3	80	148.6	10	7.6
2012_01_02 06:50:31	32.7	30.4	27.1	79.6	343.4	10	7.2
2012_01_02 06:56:46	32.8	30.4	27.4	80.2	282.2	10	7.2
2012_01_02 07:03:02	32.6	30.4	27.1	80	346.2	11	9.4
2012_01_02 07:09:18	32.6	30.4	27.2	80.2	349	13	10
2012_01_02 07:15:33	32.5	30.4	26.8	79.2	280.6	13	9.4
2012_01_02 07:21:48	32.7	30.4	27.6	81.6	355	13	8.6
2012_01_02 07:28:04	32.5	30.4	27.2	80.6	348.6	13	9.8
2012_01_02 07:34:20	32.5	30.4	27.4	81.2	351.6	13	8.8
2012_01_02 07:40:36	32.5	30.4	27.2	80.6	327.4	11	7.6
2012_01_02 07:46:51	32.8	30.4	27.8	81.6	341	14	10.6
2012_01_02 07:53:07	32.9	30.4	27.7	81	147.2	14	5.6
2012_01_02 07:59:24	32.8	30.4	27.7	81.4	213	14	8.6
2012_01_02 08:05:39	32.6	30.4	27.2	80.6	140.6	10	8.2
2012_01_02 08:11:55	32.4	30.4	27.2	81	281	10	7
2012_01_02 08:18:11	32.5	30.4	27.4	81.2	5	10	6
2012_01_02 08:24:39	32.7	30.4	27.5	81	208.8	11	7.8
2012_01_02 08:31:13	32.7	30.4	27.5	81	335.4	11	8.8
2012_01_02 08:37:29	32.7	30.4	27.5	81	353.8	12	9.8
2012_01_02 08:43:44	32.6	30.4	27.4	81	353.4	12	7.8
2012_01_02 08:49:59	32.6	30.4	27.5	81.4	285.4	12	7
2012_01_02 08:56:15	32.7	30.3	27.4	80.6	219.2	12	8.8
2012_01_02 09:02:31	32.5	30.3	27.2	80.4	152.2	12	7.6
2012_01_02 09:08:47	32.5	30.3	27.3	81.2	212.4	10	5.8
2012_01_02 09:15:02	32.7	30.3	27.6	81.4	338.4	10	5.6
2012_01_02 09:21:19	32.9	30.3	27.5	80.4	339.8	10	8
2012_01_02 09:27:35	33	30.3	27.3	79.4	320	10	7.6
2012_01_02 09:33:50	32.9	30.3	27.3	79.8	344.8	10	7.2
2012_01_02 09:40:05	32.7	30.3	27.4	80.6	341.6	10	8.2
2012_01_02 09:46:21	32.6	30.3	27.2	80.6	335.4	11	7.6
2012_01_02 09:52:37	32.6	30.3	27.2	80.4	343	11	6.8
2012_01_02 09:58:53	32.6	30.3	27.3	80.6	344	11	8.4
2012_01_02 10:05:08	32.7	30.3	27.5	80.8	334.8	11	7.8
2012_01_02 10:11:24	32.8	30.3	27.5	80.6	343.2	11	7.4
2012_01_02 10:17:40	32.8	30.3	27.4	80.2	355	11	6.2
2012_01_02 10:23:55	32.8	30.3	27.3	80	328	11	5.6
2012_01_02 10:30:11	32.7	30.3	27.3	80.6	340	11	6
2012_01_02 10:36:28	32.7	30.3	27.4	80.6	341.2	8	6.2
2012_01_02 10:42:44	32.8	30.3	27.2	79.8	344	9	6
2012_01_02 10:48:59	32.9	30.3	27.2	79.6	344	9	4.6
2012_01_02 10:55:15	33	30.3	27.6	80.4	317.4	9	7.4
2012_01_02 11:01:31	33.1	30.3	27.7	80.4	341.4	9	6
2012_01_02 11:07:47	33	30.3	27.6	80.2	330.2	8	5.6
2012_01_02 11:14:02	33	30.3	27.5	80	331	8	4.8
2012_01_02 11:20:19	33.1	30.3	27.6	80	336	8	5.4
2012_01_02 11:26:35	33.2	30.3	27.5	79.4	331	8	6
2012_01_02 11:32:51	33.1	30.3	27.5	79.6	311.8	8	5.6
2012_01_02 11:39:06	33.2	30.3	27.5	79.4	306.8	9	5.6
2012_01_02 11:45:23	33.3	30.3	27.8	80	316.2	9	5.8
2012_01_02 11:51:38	33.4	30.3	28.1	80.4	328	9	5
2012_01_02 11:58:02	33.5	30.2	28	80	328	9	4.6
2012_01_02 12:04:23	33.5	30.2	28.1	80.2	328.8	9	4.6
2012_01_02 12:10:39	33.4	30.2	27.7	79.2	329	6	5
2012_01_02 12:16:55	33.5	30.2	28	80	329	7	4
2012_01_02 12:23:11	33.7	30.2	28.2	80	328.4	7	4.8
2012_01_02 12:29:27	33.8	30.2	28.3	79.8	309	8	6
2012_01_02 12:35:43	34.1	30.2	28.2	78.8	297	10	6.8
2012_01_02 12:41:59	34.2	30.2	27.9	77.4	301.8	11	7.4
2012_01_02 12:48:15	34.3	30.2	28.1	77.6	295.2	12	6.6
2012_01_02 12:54:30	34.3	30.2	27.9	77	308	12	4.8
2012_01_02 13:00:47	34.4	30.2	27.7	76.2	308.2	12	3.2
2012_01_02 13:07:02	34.4	30.2	28	77.2	327	7	4.6
2012_01_02 13:13:18	34.4	30.2	28.1	77.6	317.8	8	7
2012_01_02 13:19:34	34.4	30.2	28.2	77.6	285	8	4.8
2012_01_02 13:25:50	34.4	30.2	28	77.2	285	8	4.4
2012_01_02 13:32:06	34.4	30.2	28	77.2	285	9	6.2
2012_01_02 13:38:22	34.5	30.2	28.2	77.6	285	9	6.2
2012_01_02 13:44:38	34.7	30.2	28.3	77	285	9	6.2
2012_01_02 13:50:54	34.8	30.2	28.2	76.4	284	9	6.2
2012_01_02 13:57:10	34.9	30.2	28.1	76	298	9	4.4
2012_01_02 14:03:26	35	30.2	28.1	75.8	311	9	4.6
2012_01_02 14:09:41	35	30.2	28	75.2	313.4	8	4
2012_01_02 14:15:58	35.1	30.2	28.7	77.2	314.6	8	4.4
2012_01_02 14:22:14	35.1	30.2	28.4	76.2	319	8	4.6
2012_01_02 14:28:29	35.1	30.2	28.6	77	326.8	8	4.8
2012_01_02 14:34:45	35	30.2	28.7	77.8	328.8	8	6
2012_01_02 14:41:02	35	30.1	28.6	77.4	328.6	8	6
2012_01_02 14:47:18	35	30.1	28.9	78.2	326.2	9	6.8
2012_01_02 14:53:34	35.1	30.1	29.4	79.4	330.4	9	6.4
2012_01_02 14:59:50	35.3	30.1	29.4	79	329	10	7
2012_01_02 15:06:05	35.2	30.1	29.3	78.8	304.8	9	7.2
2012_01_02 15:12:21	35.5	30.1	29.9	79.8	326.2	9	4.4
2012_01_02 15:18:37	35.5	30.1	29.1	77.4	333	9	0.4
2012_01_02 15:24:53	35.5	30.1	29	77	333	9	0.8
